1,Clear bubbling potion,Potion of Water Breathing,A small vial clear liquid. Occasionally a bubble floats to the top.,A small glass vial of a clear liquid that is slowly bubbling. The bubbles appear to form spontaneously within the liquid. The liquid itself is nearly identical to water except for the slight magical aura it radiates.,"The liquid in the vial is clearly magical, likely a potion.","A potion, that when drunk allows the user to breath underwater for 1 hour.",Uncommon,500
2,Vial of thick red liquid,Potion of Blood,A vial of a thick red liquid. It could be past it's expiry date!,"A vial that is unusually large for a potion, and oddly small for an oil. It contains a viscous red liquid that tastes like rust.","The liquid in the vial is clearly magical, it could be a potion or oil.","A potion of blood. When drunk the user must pass a dc 10 con save, on success they heal 4d4 + 4 hp and heal from all magical and nonmagical bleeding. On a failure they heal 1d4 + 1 and everything they eat for the next 24 hours tastes like rust.",Rare,5000
3,Yellowish-Green foamy potion,Crawler mucus,A small vial of dubious yellowish-green liquid.,"A vial of thin foamy liquid. It smells of tooth decay, and stings to touch.","There is no magical aura present, but this clearly isn't an ordinary object.","Crawler Mucus (Contact): This poison must be harvested from a dead or Incapacitated crawler. A creature subjected to this poison must succeed on a DC 13 Constitution saving throw or be Poisoned for 1 minute. The Poisoned creature is Paralyzed. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",N/A,200
4,Dubious yellow liquid,Putrid potion of purification,A small vial of stinky yellow liquid.,A small glass vial containing a light yellow liquid that smells like ammonia (Stale piss). The liquid begins evaporating quickly after the cap is popped.,"It's unarguably magic. It also smells like it belongs in a chamber pot.","A Putrid potion of purification. Once evaporated in a closed 20x20x10 or smaller area it purifies the room completely of dirt, grime and non-magical disease for 1d4 hours. It also suppresses magical disease, giving those it threatens advantage on their saves against it. This effect doesn't cure individuals of illness, but does keep it from being transmitted. The room smells of stale piss while the potion is active and until the room is exposed to a good flow of air for 24 hours.",Common,50
5,Wooden vial of liquid,Purple paste of Heath,A unusually large wooden vial with a strange cap and some kind of thick liquid inside.,A wooden vial sealed by a cap that has a stick running through it. Inside is a thick oozy purple sludge, that tastes sweet with a gross after taste.,"A purple paste of Health. when consumed it heals 2d4 + 2 hp. When frozen this turns into a health snack designed for snow elves in their first half century of age. The taste of sugar can't quite hide the horrible taste of medicine lurking behind it.",Common,50
6,Brass Gear covered in scribbles,A gear of Gnomish Celebration,A small brass gear covered in gnomish scribbles.,"A small brass gear etched by the hand of an inexperienced gnome. Most of the words are illegible, but you see Celebrate, Boom, and Year. At the end of each gear tooth is a number 1-12 in a counter clockwise pattern.","The gear appears to be resisting the wear of age, which could be attributed to the faint magical it contains.","A gear of Gnomish Celebration. If someone states a time of day in gnomish or common, and then taps the gear with a hammer, the gear will slowly rotate, the numbered side moving counter clockwise. a full rotation takes half a day. Once the time stated occurs the gear stops rotating and bursts into a harmless ball of sound and light, alerting anyone within 120 ft. The gear's timing is calibrated to the millisecond, but can only be set to the minute.",Uncommon,500 
7,A stone skull,Dwarven stone skull prosthetic,"Someone carved a stone to look almost exactly like a skull, jaw, teeth and all.",This a skull shaped perfectly like a male high elf's head. The teeth and jaw are intact. It looks uncomfortably life like.,The skull has a spooky magic about it,"A Dwarven stone skull prosthetic. This stone skull can be used to replace a misshapen or partially missing skull. This one is intended for an elf, but can be used by anyone, although it will make them look somewhat elf like. Non-elves and those with deformed heads that replace their head will gain advantage on establishing a single new false identity until they fail an identity affirming roll in front of anyone that would know any of their other identities.",Rare,5000
8,A jar of chromatic marbles,A Wise Dragon's lost marbles,"A clay jar containing a few solid colored marbles. The marbles are unusually heavy, definitely not marble league standard.","A Sturdy iron infused pear-shaped clay containing a few chromatic marbles. These marbles, feel like they could withstand nearly anything, although they easily crack when you apply pressure on them.",The jar has faint traces of magic. The marbles inside are absolutely radiating it.,"The jar contains 6d+3 marbles coloured like a of the chromatic dragon. Crushing a marble will grant the user 1/2 resistance to the element of the dragon for 1 minute the marbles can be broken. Using a second marble of the same resistance type extends the duration, and the damage resistance doesn't stack.",Rare,5000
9,A sea sounding clam shell,Shell of the seas,A turquoise stained clamshell that projects ocean noises when opened.,"A turquoise stained calm shell that was stained to make the natural lines of the shell look like waves. When opened the sound of the sea is projected from within, unless it is submerged in water. Listing to it makes you think of water and feel calm.","The shell feels magical when you touch it, but it feels overwhelmingly magical when opened.","The shell when opened will play sounds of the sea, granting anyone that hears it advantage any checks where the user is attempting to traverse water. The effect only works while the shell is not submerged. The effect lasts for 5 minutes, it can be used in 1 round segments and resets at sun set, (at most every 24 hours).",Very Rare,50000
10,A crystal ball full of lightning,Misfortune teller's ball,A Crystal ball that shows images of lighting storms whenever its touched.,"A normal looking crystal ball, that shows storm clouds and lightning when you touch it and focus on it. It appears to calm down if you don't focus on it. It contains malevolent energy, but none of it effects you when you touch it.","It's a crystal ball, you could use it for magic even if it wasn't enchanted, which it is.","As a free action someone holding the Crystal ball can target up to their CHA modifier targets. The item user may choose a roll type, skill or attack, and the next roll the target makes of that type will be done with disadvantage. If the roll fails the item user is cursed and they will have disadvantage on all their rolls until they have failed as often as they have made other people have failed. The first 5 +users CHA Modifier curses won't effect the user.",Very Rare,50000 
